Exhibit 19b  Comparable Transactions—The Fast-Fit Sector,,,,,,,,,,,,,,
,,,,,,,Multiples (except cost/outlet),,,,,,,
,,,,Bid Value for 100% (.m),Net Debt/ (Cash) (.m),Enterprise Value (EV) (.m),EV/ Sales,EV/ EBITDA,EV/EBIT,EBT,PER,Cost/Outlet(.000),Net Asset,
,,,,,,,,,,,,,,
Target,Target Activity,Date,Bidder (Country),,,,,,,,,,,
,,,,,,,,,,,,,,
Kwik-Fit Holdings,"Operation of tyre, exhaust,and automotive repair centres",Apr-99,Ford,1008,91.6,1099.6,2.13x,15.5x,18.9x,18.2x,26.9x,687,5.1x,
,,,,,,,,,,,,,,
International Tyre Brands,Operation of tyre centres in the UK,Aug-98,Just Tyres Holding,11,3.5,14.5,0.45x,10.1x,13.5x,14.8x,18.6x,n/a,4.0x,
,,,,,,,,,,,,,,
Universal Tyres & Spares,"Tyre wholesalers, retailers and distributors",Jan-98,Montinex,0.5,-0.6,-0.1,neg.,neg.,neg.,3.4x,4.4x,neg.,0.6x,
,,,,,,,,,,,,,,
A5 Tyre & Exhaust,"Supply and fitting of tyres, exhaust systems and batteries, and the undertaking of MOT testing",Dec-97,Montinex,1.1,0.1,1.2,n/a,n/a,n/a,n/a,n/a,197,2.7x,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Haslemere Tyre & Battery,Tyre and battery centre,Déc-97,Montinex,0.5,n/a,0.5,n/a,n/a,n/a,n/a,n/a,500,n/a,
,,,,,,,,,,,,,,
Humphries Tyre & Exhaust,Fitting of exhaust systems and tryes,Feb-97,Kwik Fit,5.2,0.6,5.8,1.61x,44.2x,50.6x,9.1x,30.9x,n/a,3.3x,
,,,,,,,,,,,,,,
Northway/Imaco,Retail supply of tyres and other spare parts,Jan-97,Montinex,3.9,-0.5,3.4,0.28x,3.6x,4.1x,4.9x,7.6x,572,1.9x,
,,,,,,,,,,,,,,
Super Fit Exhaust,Fitting of exhausts,Dec-96,Montinex,1.1,0.1,1.2,0.78x,1.3x,18.0x,22.0x,28.9x,248,18.4x,
Albany Tyre & Exhaust,Tyre and exhaust centres,Oct-96,Montinex,1,n/a,1,n/a,n/a,n/a,n/a,n/a,200,n/a,
Ebley/Autospec/Manor Tyre,Automotive fitters,Apr-96,Kwik Fit,12.3,n/a,12.3,0.62x,n/a,n/a,10.3x,15.8x,273,3.0x,
,,,,,,,,,,,,,,
Tyre Sales (Birmingham),Wholesale and retail of tyres and exhausts,Dec-95,Kwik Fit,12,2.8,14.8,0.70x,55.4x,88.6x,60.0x,92.3x,344,neg.,
,,,,,,,,,,,,,,
Charlie Brown Autocentres,Autocentre stores,Apr-95,Montinex,19,3.4,22.4,0.47x,89.1x,neg.,neg.,neg.,298,neg.,
,,,,,,,,,,,,,,
Malvern Tyres,Sale of tyres and other related products,Mar-95,Montinex,1.5,-0.2,1.3,n/a,n/a,n/a,n/a,n/a,436,2.1x,
,,,,,,,,,,,,,,
Superdrive Motoring Centres,Operator of retail outlets for the supply and fitting of motor vehicle parts,Oct-94,Kwik Fit,21.5,13,34.5,0.83x,neg.,neg.,neg.,neg.,766,n/a,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Exhaust Despatch,Distribution of motor parts,Oct-94,Montinex,0.5,-0.1,0.4,0.50x,3.8x,4.2x,5.7x,8.1x,138,N/a,
Chessington Tyres,Operator of tyre centres,Jul-94,MBI (Montinex),7.5,1.7,9.2,0.45x,10.3x,12.4x,11.3x,17.1x,249,1.9x,
,,,,,,Mean,0.80x,25.9x,26.3x,16.0x,25.1x,378,4.0x,
,,,,,,Median,0.62x,10.3x,15.8x,10.8x,17.9x,298,2.7x,
