Exhibit 19c  Comparable Transactions—Autoparts Distribution/Retail Sector,,,,,,,,,,,,,,
,,,,,,,Multiples (except cost/outlet),,,,,,,
,,,,Bid Value for 100% (.m),Net Debt/ (Cash) (.m),Enterprise Value (EV) (.m),EV/ Sales,EV/ EBITDA,EV/EBIT,EBT,PER,Cost/Outlet(.000),Net Asset,
,,,,,,,,,,,,,,
Target,Target Activity,Date,Bidder (Country),,,,,,,,,,,
,,,,,,,,,,,,,,
Partco Group,Distribution of components to the automotive after-market in the UK and western Europe,Apr-99,UGC Ltd,178.9,34.2,213.1,0.49x,7.3x,9.2x,9.9x,14.9x,426,n/a,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Dixons Motors (parts distribution business),Distribution of automotive parts ,Nov-98,Speedpart,6.5,3,9.5,0.61x,N/a,n/a,n/a,8.1x,n/a,5.4x,
,,,,,,,,,,,,,,
Port Brake Services,"Motor factors—commercial vehicle servicing, repairs, parts and accessories",Jul-98,Partco Group,2.4,0.4,2.7,0.58x,9.4x,15.8x,18.1x,23.9x,300,4.6x,
,,,,,,,,,,,,,,
Bancrofts,Distributor of automotive paints and associated products,May-98,Finelist Group,14.5,1.5,16,0.76x,13.8x,17.8x,16.1x,n/a,800,3.9x,
,,,,,,,,,,,,,,
SVG,"Supplier of body panels, lamps and crash repair components to the automotive after-market",May-98,Partco Group,4.5,5.3,9.8,0.47x,Neg.,neg.,neg.,neg.,"3,267",1.3x,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Emergency Spares,Retailer of motor vehicle parts,Jan-98,Finelist Group,3.1,0.5,3.6,n/a,5.5x,5.7x,4.9x,7.2x,241,2.9x,
Wheels Motor Factors,Supplier of automotive parts,Nov-97,Finelist Group,6.8,n/a,6.8,0.97x,n/a,n/a,n/a,9.7x,567,n/a,
Regor,Cash and carry distributor of automotive parts,May-97,Finelist Group,3,1.68,4.7,n/a,22.9x,52.2x,neg.,neg.,n/a,1.8x,
,,,,,,,,,,,,,,
Maccess Group,Distributor of motor vehicle components and spare parts,Apr-97,Finelist Group,23,9.6,32.6,0.55x,14.8x,16.3x,11.5x,n/a,n/a,10.8x,
,,,,,,,,,,,,,,
First Line,Wholesale packaging and distribution of automotive parts,Feb-97,Finelist Group,7.2,n/a,7.2,n/a,n/a,n/a,n/a,n/a,n/a,6.5x,
,,,,,,,,,,,,,,
Brown Brothers,UK warehouse distribution operations,Feb-97,Partco Group,103,n/a,103,0.46x,4.2x,4.6x,4.6x,6.3x,n/a,2.5x,
,,,,,,,,,,,,,,
Ferraris Piston,Distributor of automotive parts Services,Jan-97,Finelist Group,52,9,61,1.30x,14.1x,17.0x,14.5x,14.6x,n/a,7.4x,
,,,,,,,,,,,,,,
Motor World Group,"Retail of auto parts, consumables and ancillary products to the DIY motor sector",Jul-96,Finelist Group,48.1,3.2,51.3,0.93x,8.2x,10.9x,12.4x,16.1x,155,2.8x,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gordon Plunkett,Distribution of vehicle parts and factoring,Jul-96,Dixon Motors,6,1.4,7.4,0.49x,n/a,n/a,8.2x,n/a,n/a,1.7x,
,,,,,,,,,,,,,,
,,,,,,Mean,0.69x,11.1,16.6x,11.1x,12.6x,822,4.3x,
,,,,,,Median,0.58x,9.4,15.8x,11.5x,12.1x,426,3.4x,
